address,stalk,seeds
0x7CDFc314b89a851054A9acC324171bF8a31593E9,4360800,1080
0x7Cc8880e3d74611e301fAaA5C8a05d3D8FCB3F18,234336,28
0x7D23f93e0E7722D40EaDa37d5AfB8BD9C6F57677,312640,60
0x7D31bf47ddA62C185A057b4002f1235FC3c8ae82,38256,8
0x7F594CF111DADb003812729054050239101B4621,19626,6
0x7F81D5AF291481AFC4A9b5744286e7f49d20AFfF,22768,4
0x7F91212b8403ae7A7eaBe88C8eAf98002f0A3bD3,103378,22
0x7aA55D3965455d50f779991783fD54178aBCa185,40496,8
0x7b2366996A64effE1aF089fA64e9cf4361FddC6e,895988,252
0x7bB955249d6f57345726569EA7131E2910CA9C0D,172812,32
0x7bd5d9279414A7d5c3B17916A916F0C7Fd2c593B,90392,14
0x7c5534E88F8A7b3F81290a4372D85dbD4b9B2ae2,680608,118
0x7cC0ec6e5b074fB42114750C9748463C4ac6CD16,10198,2
0x7cd222530d4D10E175c939F55c5dC394d51AaDaA,42534,12
0x7cd5F8291eeB36D2998c703E7db2f94997fCB1F9,147700,28
0x7d50bfeAD43d4FDD47a8A61f32305b2dE21068Bd,369722,80
0x7dE837cAff6A19898e507F644939939cB9341209,59936,14
0x7eaF877B409740afa24226D4A448c980896Be795,33114,6
0x80077CB3B35A6c30DC354469f63e0743eeff32D4,61884,24
0x804Be57907807794D4982Bf60F8b86e9010A1639,32028,12
0x808995E68A45b4D5a1ba61429882b47011E96c79,106432,22
0x80Fd357cAC78f7f70BDba65548e3b62982Eb31A7,6528,2
0x8191A2e4721CA4f2f4533c3c12B628f141fF2c19,585242,174
0x81F45F896D8854007fd6E7C892A894804F8aD3cb,136740,28
0x820A2943762236e27A3a2C6ea1024117518895a5,1232218,304
0x82353d5D94ef75145D57C5109e8aD54D00Ff2459,11364,2
0x82F402847051BDdAAb0f5D4b481417281837c424,51336,12
0x8366bc75C14C481c93AaC21a11183807E1DE0630,44748,8
0x8368545412A7D32df7DAEB85399Fe1CC0284CF17,34660,4
0x83C9EC651027e061BcC39485c1Fb369297bD428c,1790386,432
0x8421D4871C9d29cbf533ccbE569D8F94531d8C70,11626,2
0x8450E3092b2c1C4AafD37cB6965cFCe03cd5fB6D,40266,8
0x848aB321B59da42521D10c07c2453870b9850c8A,200500,38
0x853AebEc29B1DABA31de05aD58738Ed1507D3b82,23228,4
0x85bBE859d13c5311520167AAD51482672EEa654b,657258,170
